business_name,category,city,state,address,phone,email,website,google_rating,review_count,year_established,services,facebook,instagram,linkedin
Detailing Spiders,Car Detailing Studios,Karnal,Haryana,GT Road Near Bus Stand,+91-9876543210,info@detailingspiders.com,https://detailingspiders.com,4.8,320,2018,"PPF, Ceramic Coating, Interior Detailing",https://facebook.com/detailingspiders,https://instagram.com/detailingspiders,
AutoShine Pro,Car Detailing Studios,Karnal,Haryana,Model Town Road,+91-9876543211,contact@autoshinepro.com,https://autoshinepro.com,4.5,180,2019,"Car Washing, Polishing, Paint Protection",https://facebook.com/autoshinepro,,
Apex Detailers,Car Detailing Studios,Delhi,Delhi,Connaught Place,+91-9876543212,hello@apexdetailers.in,https://apexdetailers.in,4.9,540,2015,"Ceramic Coating, PPF, Paint Correction",https://facebook.com/apexdetailers,https://instagram.com/apexdetailers,https://linkedin.com/company/apexdetailers
MedCare Hospital,Hospitals,Delhi,Delhi,Ring Road Sector 5,+91-11-26543210,info@medcarehospital.com,https://medcarehospital.com,4.6,890,2005,"Cardiology, Orthopedics, General Surgery",,https://instagram.com/medcarehospital,https://linkedin.com/company/medcarehospital
City Health Clinic,Hospitals,Jaipur,Rajasthan,MI Road,+91-141-2345678,admin@cityhealthclinic.in,https://cityhealthclinic.in,4.3,210,2012,"General Medicine, Pediatrics, Dermatology",https://facebook.com/cityhealthclinic,,
Jaipur National University,Universities,Jaipur,Rajasthan,Jagatpura Road,+91-141-9876543,admissions@jnu.ac.in,https://jnu.ac.in,4.2,450,2007,"Engineering, Management, Law, Medical",https://facebook.com/jnujaipur,https://instagram.com/jnujaipur,https://linkedin.com/school/jnu
TechForge Solutions,IT Services,Bangalore,Karnataka,HSR Layout,+91-80-12345678,info@techforge.io,https://techforge.io,4.7,95,2020,"Web Development, Mobile Apps, Cloud Solutions",,https://instagram.com/techforge,https://linkedin.com/company/techforge
Green Earth Organic,Organic Stores,Mumbai,Maharashtra,Bandra West,+91-22-98765432,shop@greenearthorganic.com,https://greenearthorganic.com,4.4,310,2016,"Organic Food, Natural Cosmetics, Supplements",https://facebook.com/greenearthorganic,https://instagram.com/greenearthorganic,
Shri Ram Jewellers,Jewellery Stores,Karnal,Haryana,Karan Market,+91-184-2234567,info@shriramjewellers.com,,4.1,75,1995,"Gold, Diamond, Silver Jewellery",https://facebook.com/shriramjewellers,,
CloudNine Cafe,Cafes,Jaipur,Rajasthan,C-Scheme,+91-141-3456789,hello@cloudninecafe.in,https://cloudninecafe.in,4.6,520,2017,"Coffee, Pastries, Sandwiches, Smoothies",https://facebook.com/cloudninecafe,https://instagram.com/cloudninecafe,
